threshold,precision,recall,f1
0.24827848,0.040496407576747225,0.8985507246376812,0.07749999999991747
0.24840324,0.04050963737340738,0.8985507246376812,0.07752422632064268
0.24841318,0.040522875816993466,0.8985507246376812,0.07754846779228766
0.24854298,0.040536122915985615,0.8985507246376812,0.07757272442906972
0.24880795,0.040549378678875085,0.8985507246376812,0.07759699624522401
0.24902387,0.04057591623036649,0.8985507246376812,0.07764558547267876
0.24907625,0.040589198036006545,0.8985507246376812,0.07766990291253865
0.24909522,0.04060248853962017,0.8985507246376812,0.0776942355888897
0.24913199,0.04061578774975434,0.8985507246376812,0.0777185835160564
0.24926664,0.04062909567496723,0.8985507246376812,0.07774294670838117
0.24936278,0.04064241232382825,0.8985507246376812,0.0777673251802245
0.24949801,0.04065573770491803,0.8985507246376812,0.07779171894596486
0.24968015,0.04066907182682847,0.8985507246376812,0.07781612801999872
0.24969882,0.04068241469816273,0.8985507246376812,0.07784055241674073
0.2498478,0.04069576632753528,0.8985507246376812,0.07786499215062354
0.25054783,0.040709126723571895,0.8985507246376812,0.07788944723609798
0.25077665,0.040722495894909685,0.8985507246376812,0.07791391768763303
0.25088188,0.040735873850197106,0.8985507246376812,0.0779384035197159
0.25104827,0.040749260598093986,0.8985507246376812,0.07796290474685191
0.2510975,0.04076265614727153,0.8985507246376812,0.07798742138356478
0.25123549,0.040776060506412366,0.8985507246376812,0.07801195344439635
0.25135893,0.04078947368421053,0.8985507246376812,0.07803650094390686
0.25170055,0.0408028956893715,0.8985507246376812,0.07806106389667486
0.25172257,0.04081632653061224,0.8985507246376812,0.07808564231729723
0.25177917,0.04084321475625823,0.8985507246376812,0.07813484562058476
0.25181925,0.04087013843111404,0.8985507246376812,0.07818411097091298
0.25189215,0.04088361358391032,0.8985507246376812,0.07820876695040556
0.25197086,0.040897097625329816,0.8985507246376812,0.07823343848572115
0.2519795,0.04091059056417024,0.8985507246376812,0.078258125591586
0.25207007,0.04092409240924092,0.8985507246376812,0.07828282828274495
0.25235358,0.040937603169362825,0.8985507246376812,0.0783075465739615
0.25239944,0.04095112285336856,0.8985507246376812,0.07833228048001771
0.25291204,0.04096465147010241,0.8985507246376812,0.0783570300157144
0.25304,0.040978189028420355,0.8985507246376812,0.07838179519587106
0.25307685,0.040991735537190085,0.8985507246376812,0.07840657603532598
0.25309557,0.041005291005291,0.8985507246376812,0.07843137254893613
0.2533134,0.04103242885506287,0.8985507246376812,0.07848101265814432
0.25343513,0.04104601125455147,0.8985507246376812,0.0785058562835505
0.25351363,0.04105960264900662,0.8985507246376812,0.07853071564272833
0.25362957,0.041073203047366676,0.8985507246376812,0.07855559075062908
0.25395727,0.04108681245858184,0.8985507246376812,0.07858048162222309
0.25453448,0.041100430891614186,0.8985507246376812,0.07860538827249955
0.25455016,0.04111405835543767,0.8985507246376812,0.07863031071646674
0.2546565,0.041127694859038146,0.8985507246376812,0.07865524896915195
0.25467604,0.0411413404114134,0.8985507246376812,0.07868020304560155
0.25470278,0.04115499502157318,0.8985507246376812,0.07870517296088102
0.2548661,0.041168658698539175,0.8985507246376812,0.07873015873007495
0.2548815,0.04118233145134507,0.8985507246376812,0.0787551603682871
0.2548892,0.04119601328903655,0.8985507246376812,0.07878017789064046
0.25496268,0.04120970422067132,0.8985507246376812,0.07880521131227712
0.25507015,0.041223404255319146,0.8985507246376812,0.07883026064835859
0.25512868,0.041237113402061855,0.8985507246376812,0.07885532591406555
0.25517887,0.04125083166999335,0.8985507246376812,0.078880407124598
0.25517896,0.041278295605858856,0.8985507246376812,0.07893061744103633
0.25521505,0.041292041292041295,0.8985507246376812,0.07895574657743908
0.255353,0.041305796135909394,0.8985507246376812,0.0789808917196612
0.25542787,0.04131956014661779,0.8985507246376812,0.07900605288299974
0.25565454,0.04133333333333333,0.8985507246376812,0.07903123008277124
0.2557432,0.041347115705235075,0.8985507246376812,0.07905642333431182
0.2559036,0.04136090727151434,0.8985507246376812,0.07908163265297709
0.25701332,0.041374708041374705,0.8985507246376812,0.07910685805414232
0.2570814,0.04138851802403204,0.8985507246376812,0.07913209955320234
0.25770307,0.041416165664662656,0.8985507246376812,0.07918263090668459
0.25793388,0.0414300033411293,0.8985507246376812,0.07920792079199494
